title;start;path_gdx_ref;path_gdx_bau;cm_feedstockMatchingBiomass;cm_BCLearning;cm_ccapturescen;c_ccsinjecratescen;cm_biocharRevenue;cm_biocharRevenueValue;cm_biocharRegionalMatching;cm_biocharLowTech;cm_tradbio_phaseout;cm_biocharMedGasTech;cm_biocharMedBCTech;cm_biocharHighTech;c_keep_iteration_gdxes;cm_nash_autoconverge;cm_iteration_max;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2from2020;carbonprice;cm_co2_tax_2020;cm_peakBudgYr;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;techpol;regipol;cm_multigasscen;cm_EDGEtr_scen;water;cm_startyear
Base-basic;0;;;0;1;1;1;0;0;0;1;default;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;;2;Mix1;heat;2005
NDC-basic;0;Base-basic;Base-basic;0;1;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;3;Mix2;heat;2015
Npi-basic;0;NDC-basic;Base-basic;0;1;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;regiCarbonPrice;3;Mix1;heat;2025
PkBudg500-basic;0;NDC-basic;Base-basic;0;1;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
PkBudg1150-basic;0;NDC-basic;Base-basic;0;1;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp26;9;globallyOptimal;1150;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
Base-FSM;0;;;1;1;1;1;0;0;0;1;default;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;;2;Mix1;heat;2005
NDC-FSM;0;Base-FSM;Base-FSM;1;1;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;3;Mix2;heat;2015
Npi-FSM;0;NDC-FSM;Base-FSM;1;1;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;regiCarbonPrice;3;Mix1;heat;2025
PkBudg500-FSM;0;NDC-FSM;Base-FSM;1;1;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
PkBudg1150-FSM;0;NDC-FSM;Base-FSM;1;1;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp26;9;globallyOptimal;1150;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
Base-noBECCS;0;;;0;1;3;1;0;0;0;1;default;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;;2;Mix1;heat;2005
